Invoice_ID,Order_Date,Customer_ID,Product_ID,Salesperson_ID,Quantity,Unit_Price,Discount_Percent,Sales_Amount,Cost_Amount,Profit,Payment_Mode,Delivery_Days,Return_Flag,Profit_Margin,Year,Month,Quarter
INV000001,2025-12-12,CUST050,PROD067,SP12,129,182.45,0.0,23536.05,14227.41,9308.64,Credit Card,2,1,39.550561797752806,2025,December,4
INV000002,2025-09-05,CUST035,PROD098,SP20,12,113.41,0.0,1360.92,1123.92,237.0,Credit Card,5,0,17.414690062604706,2025,September,3
INV000003,2024-10-13,CUST047,PROD055,SP16,110,39.6,0.0,4356.0,2888.6,1467.4,Bank Transfer,4,0,33.686868686868685,2024,October,4
INV000004,2025-10-09,CUST003,PROD016,SP13,27,47.33,0.0,1277.91,1004.67,273.24,Credit Card,5,0,21.381787449820408,2025,October,4
INV000005,2024-09-04,CUST108,PROD065,SP20,36,98.37,0.0,3541.32,2146.68,1394.64,Cheque,6,0,39.38192538375521,2024,September,3
INV000006,2025-05-23,CUST142,PROD036,SP01,118,217.36,0.0,25648.48,14944.7,10703.78,Credit Card,2,0,41.73260949576739,2025,May,2
INV000007,2025-03-24,CUST075,PROD067,SP20,59,182.45,0.0,10764.55,6507.11,4257.44,Cheque,6,0,39.550561797752806,2025,March,1
INV000008,2024-08-31,CUST012,PROD049,SP10,86,215.14,5.0,17576.94,12781.32,4795.62,Bank Transfer,2,0,27.283588610986897,2024,August,3
INV000009,2024-05-13,CUST067,PROD080,SP07,18,54.57,0.0,982.26,698.76,283.5,Bank Transfer,2,0,28.86201209455745,2024,May,2
INV000010,2025-04-10,CUST020,PROD082,SP10,29,60.6,0.0,1757.4,1172.47,584.93,Bank Transfer,1,0,33.28382838283828,2025,April,2
INV000011,2024-04-19,CUST080,PROD054,SP14,129,217.35,0.0,28038.15,16300.44,11737.71,Cash,6,0,41.86335403726707,2024,April,2
INV000012,2024-04-26,CUST136,PROD021,SP02,29,69.62,0.0,2018.98,1515.54,503.44,Credit Card,4,0,24.93536340132146,2024,April,2
INV000013,2025-08-30,CUST092,PROD013,SP14,24,39.38,0.0,945.12,604.8,340.32,Credit Card,6,0,36.00812595226003,2025,August,3
INV000014,2024-02-12,CUST130,PROD060,SP19,35,220.34,0.0,7711.9,5094.25,2617.65,Cheque,2,0,33.942997186166835,2024,February,1
INV000015,2025-01-16,CUST011,PROD050,SP15,87,34.74,0.0,3022.38,1735.65,1286.73,Credit Card,4,0,42.573402417962,2025,January,1
INV000016,2024-09-19,CUST080,PROD016,SP01,8,47.33,5.0,359.71,297.68,62.03,Credit Card,5,0,17.244446915570876,2024,September,3
INV000017,2024-08-08,CUST052,PROD036,SP06,67,217.36,5.0,13834.96,8485.55,5349.41,Bank Transfer,5,0,38.66588699931189,2024,August,3
INV000018,2024-06-03,CUST092,PROD086,SP14,90,132.92,15.0,10168.38,7364.7,2803.68,Credit Card,6,0,27.572533677931,2024,June,2
INV000019,2024-09-02,CUST079,PROD021,SP10,62,69.62,0.0,4316.44,3240.12,1076.32,Bank Transfer,5,0,24.93536340132146,2024,September,3
INV000020,2024-08-29,CUST181,PROD082,SP05,143,60.6,0.0,8665.8,5781.49,2884.31,Cheque,5,0,33.28382838283829,2024,August,3
INV000021,2025-12-08,CUST034,PROD052,SP16,86,141.5,0.0,12169.0,7942.1,4226.9,Credit Card,4,0,34.734982332155475,2025,December,4
INV000022,2025-07-07,CUST021,PROD042,SP13,117,12.42,15.0,1235.17,876.33,358.84,Cheque,1,0,29.051871402317087,2025,July,3
INV000023,2024-05-09,CUST060,PROD048,SP01,14,172.28,15.0,2050.13,1971.34,78.79,Credit Card,5,0,3.843170920868433,2024,May,2
INV000024,2025-12-26,CUST200,PROD049,SP15,149,215.14,0.0,32055.86,22144.38,9911.48,Bank Transfer,3,0,30.919401320070648,2025,December,4
INV000025,2025-03-24,CUST087,PROD008,SP13,91,129.22,5.0,11171.07,7576.66,3594.41,Credit Card,3,0,32.17605833639929,2025,March,1
INV000026,2025-10-06,CUST148,PROD021,SP08,62,69.62,0.0,4316.44,3240.12,1076.32,Cash,4,0,24.93536340132146,2025,October,4
INV000027,2025-01-25,CUST028,PROD051,SP11,9,245.98,0.0,2213.82,1295.91,917.91,Cheque,2,0,41.46272054638588,2025,January,1
INV000028,2025-01-02,CUST081,PROD095,SP08,108,92.42,5.0,9482.29,5896.8,3585.49,Credit Card,2,0,37.8124904427095,2025,January,1
INV000029,2025-01-16,CUST068,PROD078,SP09,126,13.95,0.0,1757.7,1300.32,457.38,Cheque,2,0,26.021505376344084,2025,January,1
INV000030,2025-10-13,CUST091,PROD002,SP13,99,169.37,0.0,16767.63,13967.91,2799.72,Bank Transfer,2,0,16.69717187223239,2025,October,4
INV000031,2024-09-29,CUST168,PROD018,SP09,63,212.09,0.0,13361.67,9236.43,4125.24,Credit Card,2,0,30.873685699467206,2024,September,3
INV000032,2025-02-17,CUST172,PROD032,SP19,117,151.05,5.0,16789.21,10031.58,6757.63,Credit Card,6,0,40.24983903352213,2025,February,1
INV000033,2025-05-11,CUST012,PROD047,SP18,145,154.79,0.0,22444.55,18488.95,3955.6,Cash,6,0,17.62387751146715,2025,May,2
INV000034,2025-10-08,CUST151,PROD096,SP11,90,62.46,5.0,5340.33,3441.6,1898.73,Credit Card,4,0,35.55454438208875,2025,October,4
INV000035,2025-04-10,CUST002,PROD029,SP15,31,88.49,15.0,2331.71,1728.56,603.15,Bank Transfer,4,0,25.86728195187223,2025,April,2
INV000036,2025-11-13,CUST165,PROD061,SP01,7,80.97,0.0,566.79,320.18,246.61,Bank Transfer,5,0,43.50994195381006,2025,November,4
INV000037,2024-04-17,CUST111,PROD025,SP05,115,122.66,0.0,14105.9,11280.35,2825.55,Bank Transfer,1,0,20.030979944562205,2024,April,2
INV000038,2025-05-29,CUST193,PROD004,SP08,68,152.38,10.0,9325.66,7047.52,2278.14,Credit Card,2,0,24.42872676035798,2025,May,2
INV000039,2024-10-28,CUST155,PROD066,SP09,116,29.49,5.0,3249.8,2831.56,418.24,Bank Transfer,6,0,12.86971505938827,2024,October,4
INV000040,2024-11-09,CUST054,PROD012,SP17,18,117.69,5.0,2012.5,1454.4,558.1,Cheque,4,0,27.731677018633544,2024,November,4
INV000041,2024-03-10,CUST056,PROD083,SP05,136,52.71,0.0,7168.56,5529.76,1638.8,Bank Transfer,2,0,22.860937203566685,2024,March,1
INV000042,2024-08-14,CUST154,PROD037,SP06,58,57.11,5.0,3146.76,2104.82,1041.94,Credit Card,6,0,33.111517878706984,2024,August,3
INV000043,2024-07-06,CUST057,PROD045,SP20,21,144.96,0.0,3044.16,2063.88,980.28,Bank Transfer,6,0,32.20198675496689,2024,July,3
INV000044,2024-12-01,CUST186,PROD055,SP20,136,39.6,0.0,5385.6,3571.36,1814.24,Bank Transfer,6,0,33.686868686868685,2024,December,4
INV000045,2024-06-07,CUST188,PROD060,SP19,53,220.34,5.0,11094.12,7714.15,3379.97,Credit Card,5,0,30.466319095160316,2024,June,2
INV000046,2024-11-09,CUST117,PROD031,SP04,23,131.42,0.0,3022.66,1958.45,1064.21,Credit Card,1,0,35.20773093897429,2024,November,4
INV000047,2024-05-25,CUST063,PROD092,SP15,61,81.11,15.0,4205.55,3448.33,757.22,Bank Transfer,1,0,18.005254960706687,2024,May,2
INV000048,2025-10-21,CUST047,PROD091,SP15,51,189.89,10.0,8715.95,6968.64,1747.31,Credit Card,1,0,20.04726966079429,2025,October,4
INV000049,2025-05-19,CUST061,PROD010,SP18,7,72.34,0.0,506.38,398.86,107.52,Credit Card,6,0,21.233066076859274,2025,May,2
INV000050,2025-12-10,CUST081,PROD051,SP19,39,245.98,0.0,9593.22,5615.61,3977.61,Cheque,5,0,41.46272054638589,2025,December,4
INV000051,2024-02-18,CUST149,PROD074,SP05,104,200.44,0.0,20845.76,14043.12,6802.64,Credit Card,2,0,32.633206944721614,2024,February,1
INV000052,2024-11-08,CUST100,PROD070,SP09,64,164.45,0.0,10524.8,6253.44,4271.36,Credit Card,4,0,40.583764062024926,2024,November,4
INV000053,2025-07-01,CUST158,PROD024,SP12,110,148.66,0.0,16352.6,9454.5,6898.1,Credit Card,3,0,42.183505986815554,2025,July,3
INV000054,2024-09-26,CUST120,PROD010,SP16,148,72.34,5.0,10171.0,8433.04,1737.96,Bank Transfer,5,0,17.08740536820372,2024,September,3
INV000055,2024-08-15,CUST184,PROD084,SP18,111,111.69,0.0,12397.59,6958.59,5439.0,Bank Transfer,1,0,43.871429850479004,2024,August,3
INV000056,2024-03-10,CUST127,PROD015,SP18,147,28.02,10.0,3707.05,3081.12,625.93,Credit Card,2,0,16.884854533928593,2024,March,1
INV000057,2024-05-21,CUST057,PROD037,SP18,73,57.11,5.0,3960.58,2649.17,1311.41,Credit Card,1,0,33.111564467830476,2024,May,2
INV000058,2025-01-18,CUST140,PROD061,SP09,121,80.97,0.0,9797.37,5534.54,4262.83,Credit Card,6,0,43.50994195381005,2025,January,1
